"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
650911,"Sánchez, Cristopher","L",1915,143,"29.6",2.1777261787673434,5.913274151436031,0.1760991029167423,4.777808644578173
655889,"Rodríguez, Manuel","R",431,139,"47.4",-1.5330594301179679,5.549512761020882,-0.0035554747695323552,3.8846317811663793
656186,"Altavilla, Dan","R",394,145,"24.7",-2.1927008534486556,5.196116751269035,-0.3008898255472009,4.32610646144937
656222,"Beeks, Jalen","L",661,109,"48.2",1.7800064564141114,5.971316187594554,0.22103416837234138,4.225682878531691
656234,"Bird, Jake","R",908,115,"17.7",-2.489676429539108,5.2226211453744495,-0.30284717798613237,4.524019605094741
656240,"Blewett, Scott","R",711,9999,"45.0",-1.4441520505300638,6.160028129395218,0.15448899293255214,4.563198450125479
656257,"Brigham, Jeff","R",63,109,"37.2",-1.9140423011586685,5.591428571428572,-0.08717990549755256,4.203268647256882
656271,"Burke, Brock","L",713,108,"40.3",1.9502859069963618,6.281781206171108,0.14327037035648124,4.747460963191856
656288,"Canning, Griffin","R",1343,121,"42.3",-1.6558817060304931,5.757334326135518,-0.008740227003953948,4.2585766355022345
656302,"Cease, Dylan","R",2096,135,"50.4",-1.4653060349603073,6.125954198473282,-0.05290223454232491,4.416670419847328
656420,"Feyereisen, J.P.","R",81,9999,"44.3",-1.7047118012744018,6.101234567901234,-0.05567820250434632,4.492954622477498
656427,"Flaherty, Jack","R",1929,116,"27.3",-2.0459992307193597,5.306915500259202,-0.06352741826831115,4.285556751671874
656457,"Gilbert, Tyler","L",520,145,"12.9",3.0426742776572553,5.000365384615384,0.7172961809269163,4.469041986836693
656464,"Ginkel, Kevin","R",471,109,"41.8",-1.7266941658932573,6.515307855626327,0.07935659706847419,4.8960238690766795
656546,"Hoffman, Jeff","R",717,141,"37.5",-1.8976598770870787,5.796708507670851,0.08083140337661626,4.2747794516665545
656550,"Holmes, Grant","R",1964,144,"38.8",-1.9732527074453756,5.87337067209776,-0.24766838090077728,4.487358124720912
656557,"Houck, Tanner","R",749,111,"20.3",-2.6755458243305754,5.498798397863818,-0.3507925884542432,4.637244144182737
656605,"Keller, Mitch","R",2015,134,"37.8",-1.787429760090218,5.8378461538461535,-0.05491912607316782,4.492374150511096
656629,"Kopech, Michael","R",114,119,"45.9",-1.488287179465627,5.710175438596491,-0.033679438346311416,4.207976852894268
656641,"Latz, Jacob","L",894,140,"48.5",1.231742472052884,5.901420581655481,-0.28171261479780035,4.1910493323483555
656686,"Martin, Corbin","R",124,110,"41.5",-1.5091685698912147,5.825241935483871,0.15023448479098384,4.358583058047266
656730,"Megill, Trevor","R",586,158,"53.8",-1.210310461656231,6.5131058020477814,0.2707602951822988,4.48928343158548
656731,"Megill, Tylor","R",1231,121,"35.4",-2.111337618670235,5.889642567018684,-0.21945554380233742,4.544645374613918
