"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle"
1162,664747,"Díaz, Alexis",1162,100,0.186,0.093,0.27,0.28,0.279,0.286,0.192,44,236,88.4,16.8,2598,90.9,93.46,190,546,616,2.5999999999999943,7.68,114,146,120,147,292,320,293,"11.44","-11.44","67.9","7.2",286,154,30,10,0,4,86,30.1,36,12.6,2.11819,0.64631,0.20707,-0.01886,"91.9",145,41.55844155844156,6.493506493506493,3.4965034965034967,4.62,-2.36,0.04,2.33,0.317,10,"-0.984509466",0.323,0.289,"0.984509466",-0.006,-0.006000000000000005,-0.009,-0.007,34.8,"11.8"
1156,669060,"Wilson, Bryse",1156,100,0.212,0.166,0.236,0.378,0.281,0.308,0.247,60,283,87.7,16.9,2164,90,90.33,104,563,593,0.29999999999999716,6.53,112,149,117,148,298,325,298,"13.189","-13.189","70.0","7.1",313,229,33,16,2,9,60,19.2,22,7,2.13983,0.70375,0.28616,0.11012,"91.2",168,35.80786026200873,6.986899563318777,5.111821086261981,5.68,-2.96,0.02,2.24,0.272,16,"-1.140916955",0.304,0.408,"1.140916955",-0.035,-0.03199999999999997,-0.03,-0.027,18.5,"43.1"
1146,656638,"Lange, Alex",1146,100,0.185,0.129,0.245,0.315,0.294,0.305,0.206,43,232,88.3,8.1,2160,90,90.25,184,470,676,0.29999999999999716,6.42,113,147,117,146,300,329,298,"4.66","-4.66","69.9","7.7",287,157,25,12,0,6,79,27.5,44,15.3,2.75492,0.07429,0.54648,0.01542,"92.5",130,36.30573248407643,7.006369426751593,3.8327526132404177,5.72,-2.35,-0.16,1.66,0.325,11,"-0.406631763",0.345,0.31,"0.406631763",-0.021,-0.019999999999999962,0.005,-0.011,39.1,"40.8"
1146,675627,"Grove, Michael",1146,100,0.296,0.204,0.364,0.5,0.363,0.341,0.273,83,280,90,12.7,2317,88,88.76,154,567,579,0.7999999999999972,6.68,112,149,121,151,298,319,294,"-13.482","13.482","69.8","7.5",302,207,53,15,3,12,73,24.2,19,6.3,2.63296,0.34895,-0.05485,0.02211,"92.4",151,42.028985507246375,9.178743961352657,6.291390728476822,6.07,-1.3,0.28,2.08,0.348,19,"1.176439791",0.326,0.466,"-1.176439791",0.023,0.021999999999999964,0.034,0.022,27.2,"51.4"
1141,672710,"Contreras, Roansy",1141,100,0.282,0.184,0.318,0.466,0.355,0.354,0.279,75,266,89.9,15.7,2461,87.3,87.84,142,536,605,0.5,6.62,110,148,113,149,301,320,296,"-12.375","12.375",,,300,214,48,16,0,11,55,18.3,30,10,2.59439,0.44824,-0.09144,-0.08048,"92.5",173,44.85981308411215,8.411214953271028,6,5.87,-0.88,0.31,2.22,0.356,18,"1.084574934",0.355,0.452,"-1.084574934",0.003,0.0010000000000000009,0.014,0.001,26.5,"50.0"
1139,669467,"Pallante, Andre",1139,100,0.286,0.128,0.32,0.414,0.341,0.313,0.259,76,266,88.7,-11.4,2353,92,92.45,94,516,623,0.4000000000000057,6.51,113,146,115,147,300,316,298,"-0.95","0.95","67.9","6.8",302,226,54,16,0,6,43,14.2,30,9.9,2.49354,0.25178,0.05434,-0.06861,"92.4",96,41.5929203539823,3.5398230088495577,2.6490066225165565,5.94,-1.96,0.13,2.13,0.362,8,"0.083406497",0.34,0.358,"-0.083406497",0.027,0.021999999999999964,0.056,0.028,18.2,"53.1"
1138,666808,"Doval, Camilo",1138,100,0.209,0.078,0.308,0.287,0.262,0.265,0.203,51,244,88.6,7.8,2464,95.3,96.11,181,544,594,0.7999999999999972,6.65,112,148,117,148,296,322,299,"12.177","-12.177","69.7","7.1",275,160,38,10,0,3,87,31.6,20,7.3,2.01036,0.51594,0.44445,0.06656,"91.7",136,41.25,5,2.909090909090909,5.34,-1.69,0.12,2.39,0.288,8,"-1.070035149",0.283,0.303,"1.070035149",0.006,0.0050000000000000044,-0.016,-0.003,33.3,"18.4"
1133,607074,"Rodón, Carlos",1133,100,0.261,0.237,0.287,0.498,0.357,0.351,0.253,65,249,91.3,21.8,2364,91,90.96,159,605,528,0,6.27,108,151,120,150,300,329,288,"-6.964","6.964","70.3","7.2",286,189,36,14,0,15,64,22.4,28,9.8,1.97309,0.81793,0.13251,-0.13132,"91.7",191,41.7989417989418,12.16931216931217,8.041958041958042,6.43,1.91,0.02,2.57,0.34,23,"0.614651368",0.338,0.471,"-0.614651368",0.008,0.0020000000000000018,0.027,0.006,26.3,"47.0"
1129,608718,"Suter, Brent",1129,100,0.249,0.092,0.302,0.341,0.294,0.279,0.229,65,261,82.4,10.8,2018,82.9,84.65,111,500,629,1.6999999999999886,7.24,111,148,121,147,300,330,300,"7.103","-7.103","67.9","7.0",292,209,49,11,2,3,55,18.8,25,8.6,2.53999,0.8036,0.29012,-0.21491,"90.5",144,26.31578947368421,3.349282296650718,2.3972602739726026,6.29,3.26,0.06,2.62,0.32,7,"-0.629140833",0.303,0.316,"0.629140833",0.02,0.017000000000000015,0.025,0.015,22.2,"53.0"
1128,663986,"Stephan, Trevor",1128,100,0.245,0.144,0.318,0.389,0.311,0.326,0.242,63,257,88.2,13.7,2201,90.3,90.95,172,563,564,0.6000000000000085,6.58,111,148,116,148,297,316,293,"2.953","-2.953","69.9","7.4",293,188,39,17,1,6,75,25.6,25,8.5,2.04219,0.77032,0.39523,-0.15837,"91.8",160,38.297872340425535,8.51063829787234,5.460750853242321,5.8,-1.93,-0.2,2.36,0.321,16,"-0.26179078",0.323,0.411,"0.26179078",0.003,-0.0020000000000000018,-0.022,-0.015,30.6,"37.6"
1127,608032,"Estévez, Carlos",1127,100,0.254,0.127,0.346,0.381,0.32,0.311,0.234,62,244,90.1,20.1,2156,94.3,94.3,161,585,542,0,6.35,110,148,114,147,300,327,300,"-1.647","1.647","69.2","6.8",276,167,45,10,0,7,78,28.3,26,9.4,1.52867,1.06129,0.41796,-0.14662,"91.4",180,44.31137724550898,6.58682634730539,3.985507246376811,5.78,-1.64,-0.08,2.69,0.338,11,"0.146140195",0.321,0.381,"-0.146140195",0.02,0.017000000000000015,0,0.009,27.5,"39.6"
1125,663773,"Hoeing, Bryan",1125,100,0.259,0.245,0.275,0.504,0.346,0.348,0.27,71,274,90.5,10.5,2055,90.1,90.64,108,493,632,0.5,6.75,111,149,117,149,303,319,294,"-5.011","5.011","71.3","7.5",301,224,32,24,2,13,53,17.6,22,7.3,2.5444,0.30754,0.84904,0.18701,"92.7",149,44.19642857142857,9.375,6.976744186046512,6.04,-2.84,-0.03,2.04,0.316,21,"0.445422222",0.327,0.487,"-0.445422222",-0.011,-0.01100000000000001,0.017,-0.002,21.9,"34.4"
1124,643511,"Rogers, Tyler",1124,100,0.236,0.132,0.274,0.368,0.284,0.257,0.22,66,280,83.7,8,2121,78,77.05,129,576,548,-0.9000000000000057,5.99,110,148,116,148,298,326,295,"8.663","-8.663","67.8","7.0",307,225,44,14,1,7,60,19.5,17,5.5,3.70195,0.14713,-0.42043,-0.11617,"90.9",130,27.555555555555557,2.2222222222222223,1.6286644951140066,1.09,-3.97,0.1,2.44,0.285,5,"-0.770729537",0.27,0.307,"0.770729537",0.016,0.014999999999999958,0.061,0.027,22.4,"-62.9"
1122,518886,"Kimbrel, Craig",1122,100,0.182,0.157,0.239,0.339,0.27,0.282,0.193,44,242,90.1,18.3,2438,92.6,93.43,176,531,591,0.8000000000000114,6.83,113,146,116,148,292,323,291,"7.949","-7.949","68.1","6.9",276,152,26,8,0,10,93,33.7,27,9.8,2.07974,0.60501,0.31447,0.1129,"91.3",174,46.71052631578947,10.526315789473683,5.797101449275362,4.81,-2.9,0.19,2.25,0.272,16,"-0.708467023",0.286,0.339,"0.708467023",-0.011,-0.013999999999999957,0,-0.012,33.1,"25.2"
1120,606303,"Payamps, Joel",1120,100,0.219,0.123,0.277,0.342,0.27,0.277,0.227,57,260,87.2,13.3,2514,89.7,89.14,132,490,630,-0.6000000000000085,5.97,110,150,117,148,300,324,297,"12.177","-12.177","68.6","7.0",285,187,41,8,0,8,77,27,15,5.3,2.46113,0.41205,0.16702,-0.15814,"91.4",143,33.68983957219251,4.81283422459893,3.1578947368421053,5.68,-2.62,0,2.13,0.273,9,"-1.087232143",0.282,0.344,"1.087232143",-0.008,-0.008999999999999952,-0.002,-0.007,26.9,"29.9"
1120,518585,"Cruz, Fernando",1120,100,0.211,0.154,0.319,0.366,0.29,0.288,0.204,52,246,88.7,17.1,1800,87.6,88.48,189,548,572,0.9000000000000057,6.77,111,146,122,148,294,320,293,"3.511","-3.511","68.9","7.5",279,150,29,14,3,6,98,35.1,28,10,2.23096,0.77278,0.26608,-0.055,"91.6",170,41.333333333333336,10,5.376344086021505,5.94,-1.39,0.22,2.3,0.295,15,"-0.313482143",0.289,0.362,"0.313482143",0.007,0.006000000000000005,0.004,0.002,34.5,"43.3"
1120,661403,"Clase, Emmanuel",1120,100,0.243,0.086,0.296,0.329,0.266,0.272,0.235,68,280,87.7,1.6,2620,96.5,97.27,164,598,522,0.7999999999999972,6.51,113,148,115,148,291,313,290,"11.488","-11.488","69.1","6.8",299,221,52,12,0,4,63,21.1,14,4.7,1.84851,0.59416,-0.42517,0.0018,"91.4",142,37.55656108597285,4.97737556561086,3.678929765886288,6.03,-0.67,0.09,2.39,0.279,11,"-1.025714286",0.272,0.354,"1.025714286",0.008,0.007000000000000006,-0.025,-0.006,27.4,"53.1"
1114,608665,"Graveman, Kendall",1114,100,0.214,0.155,0.256,0.37,0.311,0.327,0.234,51,238,88.3,15.7,2307,92.6,92.91,142,486,628,0.30000000000001137,6.46,111,149,115,147,296,321,295,"3.838","-3.838","70.4","7.2",281,174,33,8,1,9,66,23.5,35,12.5,1.96668,0.71166,0.68034,0.0835,"91.7",156,35.63218390804598,6.896551724137931,4.270462633451958,5.77,-1.05,0.08,2.39,0.326,12,"-0.344524237",0.345,0.382,"0.344524237",-0.02,-0.01899999999999996,-0.012,-0.016,29.2,"44.7"
1114,663855,"Hicks, Jordan",1114,100,0.231,0.101,0.323,0.332,0.296,0.282,0.209,57,247,86.7,-0.1,2225,96.9,97.13,130,461,653,0.19999999999998863,6.55,112,148,119,148,296,316,292,"5.965","-5.965","68.5","7.1",284,168,41,11,1,4,81,28.5,31,10.9,1.87503,0.59594,0.70001,0.16371,"91.9",131,35.714285714285715,5.357142857142857,3.169014084507042,5.93,-1.82,0.1,2.26,0.324,9,"-0.53545781",0.308,0.308,"0.53545781",0.022,0.016000000000000014,0.024,0.014,28.2,"39.8"
1109,663687,"Harris, Hogan",1109,100,0.269,0.201,0.308,0.47,0.352,0.345,0.258,67,249,89.3,13.7,2225,87.4,87.3,118,510,599,-0.10000000000000853,6.34,110,148,115,148,297,323,293,"-10.741","10.741","70.4","7.1",284,196,37,20,0,10,56,19.7,28,9.9,2.20647,0.84798,0.5849,-0.47148,"92.2",168,44.89795918367347,9.183673469387756,6.338028169014084,5.99,2.94,-0.11,2.4,0.348,18,"0.968530207",0.338,0.462,"-0.968530207",0.011,0.009999999999999953,0.008,0.007,23.1,"49.0"
1106,640448,"Finnegan, Kyle",1106,100,0.254,0.169,0.294,0.423,0.319,0.331,0.265,66,260,90.7,9.3,1801,95,95.85,136,548,558,0.7999999999999972,6.73,116,146,114,146,306,328,305,"0.376","-0.376","69.8","7.1",286,200,44,11,0,11,63,22,22,7.7,1.57886,0.95486,0.81789,-0.03235,"92.5",165,47.5,8.5,5.944055944055944,5.69,-1.76,-0.02,2.38,0.313,17,"-0.033996383",0.324,0.444,"0.033996383",-0.011,-0.01100000000000001,-0.021,-0.012,24.8,"50.2"
1105,670280,"Bednar, David",1105,100,0.215,0.101,0.299,0.316,0.259,0.261,0.196,53,247,87,14.6,2310,91,91.4,196,598,507,0.4000000000000057,6.55,110,149,114,149,300,318,297,"13.543","-13.543","69.3","7.1",273,173,36,12,2,3,80,29.3,17,6.2,2.09405,0.73376,0.32752,-0.0281,"91.1",163,40.46242774566474,5.202312138728324,3.296703296703297,5.87,-2.08,0.1,2.64,0.27,9,"-1.22561086",0.258,0.319,"1.22561086",0.019,0.01200000000000001,-0.003,-0.002,32.8,"38.2"
1100,554340,"García, Yimi",1100,100,0.261,0.144,0.345,0.405,0.312,0.289,0.236,67,257,85.6,10.5,2548,90.6,89.92,166,530,570,-0.6999999999999886,5.94,109,149,121,147,292,324,285,"0.479","-0.479","68.4","7.0",281,182,47,11,1,8,79,28.1,14,5,2.30775,0.51226,0.27016,0.0616,"91.5",147,35.16483516483517,6.593406593406594,4.270462633451958,5.1,-2.63,-0.02,2.39,0.313,12,"-0.043545455",0.291,0.364,"0.043545455",0.025,0.02200000000000002,0.041,0.023,31.3,"25.8"
1099,607481,"Bummer, Aaron",1099,100,0.236,0.111,0.34,0.347,0.313,0.293,0.218,53,225,88.6,-2.7,2258,89.1,89.38,143,440,659,0.30000000000001137,6.5,109,147,112,145,294,320,297,"3.411","-3.411","68.0","7.3",264,148,36,13,0,4,78,29.5,33,12.5,2.85971,0.05434,0.05367,-0.1085,"92.5",120,44.5945945945946,2.7027027027027026,1.5151515151515151,5.18,2.33,-0.12,1.96,0.345,4,"-0.310373066",0.331,0.303,"0.310373066",0.018,0.013999999999999957,0.044,0.02,32.5,"9.2"
1096,664353,"Urquidy, José",1096,100,0.263,0.19,0.281,0.453,0.34,0.332,0.259,65,247,86.6,17.4,2334,87.8,86.91,141,563,533,-0.8999999999999915,5.95,111,149,115,148,296,323,294,"-5.708","5.708","70.1","7.4",275,203,41,12,1,11,45,16.4,25,9.1,2.16891,0.85607,0.37536,-0.13343,"91.0",158,33.99014778325123,8.866995073891626,6.545454545454546,6.09,-1.52,0.1,2.37,0.335,18,"0.52080292",0.332,0.425,"-0.52080292",0.004,0.0030000000000000027,0.028,0.008,25,"51.9"
1092,593576,"Neris, Héctor",1092,100,0.174,0.119,0.222,0.292,0.258,0.281,0.196,41,236,85,18.3,2043,89.8,89.24,169,553,539,-0.5999999999999943,6.15,110,149,113,147,292,323,292,"13.929","-13.929","69.3","7.3",272,161,27,7,0,7,77,28.3,30,11,1.93399,0.94353,0.78103,0.1487,"91.3",169,27.95031055900621,8.074534161490684,4.779411764705882,6.04,-1.57,-0.14,2.36,0.274,13,"-1.275549451",0.294,0.33,"1.275549451",-0.022,-0.019999999999999962,-0.038,-0.023,30.6,"39.7"
1091,686973,"Varland, Louis",1091,100,0.252,0.24,0.284,0.492,0.335,0.328,0.249,66,262,90.4,11.7,2220,90.8,91.89,152,587,504,1.1000000000000085,6.92,111,149,120,149,298,329,291,"-1.335","1.335","67.1","6.9",283,194,39,7,4,16,71,25.1,17,6,1.97916,0.80639,0.20325,-0.1054,"91.7",167,43.81443298969072,10.824742268041238,7.420494699646643,5.46,-1.71,0.19,2.29,0.299,21,"0.122364803",0.298,0.469,"-0.122364803",0.003,0.0010000000000000009,0.023,0.007,25.9,"36.1"
1091,621076,"Kaprielian, James",1091,100,0.274,0.178,0.324,0.452,0.356,0.337,0.245,66,241,89,22.3,2064,87,86.54,132,529,561,-0.5,6.07,112,147,115,148,298,320,296,"-6.795","6.795",,,279,186,41,16,0,9,57,20.4,30,10.8,2.3589,0.70849,0.24325,0.01079,"91.6",173,38.70967741935484,6.989247311827956,4.659498207885305,5.91,-2.86,0.12,2.37,0.365,13,"0.622823098",0.341,0.425,"-0.622823098",0.029,0.023999999999999966,0.027,0.019,25,"33.2"
1084,572955,"Johnson, Pierce",1084,100,0.258,0.18,0.363,0.439,0.336,0.306,0.236,63,244,90.4,12.8,2702,89.3,88.96,168,507,577,-0.29999999999999716,5.9,111,147,119,147,301,328,300,"-4.474","4.474","67.0","7.3",275,157,39,14,0,10,89,32.4,29,10.5,2.64385,0.22244,-0.18627,-0.06463,"91.5",163,47.13375796178344,6.369426751592357,3.6363636363636362,6.04,-1.94,0.09,2.47,0.336,10,"0.412730627",0.316,0.379,"-0.412730627",0.022,0.020000000000000018,0.06,0.03,33.1,"40.2"
1082,622098,"Smith, Drew",1082,100,0.24,0.202,0.301,0.442,0.341,0.322,0.224,50,208,89.5,22.7,2516,90.3,89.87,131,503,579,-0.3999999999999915,6.15,111,148,117,150,297,324,296,"-5.629","5.629","70.5","7.3",244,150,26,13,4,7,60,24.6,29,11.9,1.8713,0.98314,0.24671,-0.10403,"91.1",187,39.33333333333333,10.666666666666668,6.557377049180328,5.52,-2.29,0.06,2.68,0.344,16,"0.520240296",0.332,0.395,"-0.520240296",0.016,0.011999999999999955,0.047,0.019,26,"40.5"
1080,527054,"Teheran, Julio",1080,100,0.254,0.213,0.266,0.466,0.324,0.339,0.271,68,268,89.5,14.3,2181,86.7,86.9,107,520,560,0.20000000000000284,6.4,113,149,117,149,300,323,296,"-3.283","3.283","71.4","7.3",288,221,39,14,2,13,50,17.4,13,4.5,2.60759,0.45121,0.73121,-0.05448,"92.2",162,42.081447963800905,9.95475113122172,7.638888888888889,4.93,-2.82,-0.12,2.35,0.296,22,"0.303981481",0.316,0.471,"-0.303981481",-0.017,-0.020000000000000018,-0.005,-0.015,20.6,"22.6"
1079,676254,"Walker, Ryan",1079,100,0.262,0.159,0.356,0.421,0.328,0.272,0.21,61,233,84.5,10.1,2388,88.9,88.53,157,491,588,-0.4000000000000057,6.09,111,149,116,148,299,325,297,"-1.971","1.971","67.7","7.4",263,159,40,13,0,8,78,29.7,24,9.1,2.76097,0.16874,-0.01622,-0.08294,"90.7",140,26.41509433962264,4.40251572327044,2.6615969581749046,5.3,-3.61,0.19,2.19,0.333,7,"0.182669138",0.289,0.313,"-0.182669138",0.052,0.04400000000000004,0.108,0.056,32,"19.1"
1073,677960,"Weathers, Ryan",1073,100,0.305,0.238,0.327,0.543,0.393,0.331,0.249,68,223,88.3,14.9,2116,90.3,89.37,111,471,602,-0.8999999999999915,5.84,110,150,118,149,300,321,293,"-12.158","12.158","70.3","7.3",257,184,40,15,1,12,43,16.7,29,11.3,1.9698,0.88116,0.55586,-0.39985,"91.7",164,34.78260869565217,7.608695652173914,5.447470817120623,5.81,2.45,-0.06,2.42,0.383,14,"1.133084809",0.335,0.423,"-1.133084809",0.056,0.04799999999999999,0.12,0.062,23.6,"38.5"
1071,657508,"Baumann, Mike",1071,100,0.221,0.149,0.266,0.37,0.303,0.351,0.259,52,235,91,12.1,2268,93,93.48,129,517,554,0.5,6.61,109,148,118,147,299,324,294,"3.196","-3.196","70.7","7.2",271,177,32,12,1,7,61,22.5,31,11.4,1.93496,0.71993,0.32484,0.00881,"92.2",164,45.76271186440678,9.03954802259887,5.904059040590406,6.09,-1.88,0.12,2.56,0.315,16,"-0.298412698",0.35,0.457,"0.298412698",-0.038,-0.034999999999999976,-0.087,-0.048,25,"47.5"
1068,502085,"Robertson, David",1068,100,0.221,0.133,0.297,0.354,0.289,0.28,0.206,53,240,88.1,14.6,2691,89.3,89.89,150,481,587,0.6000000000000085,6.69,112,148,116,149,295,320,296,"8.559","-8.559","70.2","7.3",267,163,36,9,1,7,78,29.2,23,8.6,2.39538,0.49362,-0.36578,-0.01934,"91.7",146,37.423312883435585,6.134969325153374,3.7453183520599254,5.76,-2.75,0.03,2.02,0.297,10,"-0.801404494",0.284,0.349,"0.801404494",0.015,0.013000000000000012,0.005,0.009,31.2,"42.4"
1068,664199,"Clarke, Taylor",1068,100,0.303,0.209,0.369,0.513,0.376,0.344,0.251,71,234,88.9,19.3,2169,89.6,89.61,149,537,531,0,6.25,112,148,119,148,297,327,293,"-11.454","11.454","70.0","7.4",265,173,47,11,1,12,65,24.5,23,8.7,2.23517,0.61612,0.00377,-0.24219,"91.9",162,41.61849710982659,12.716763005780345,8.30188679245283,6.08,-1.08,0.23,2.16,0.369,22,"1.07247191",0.327,0.468,"-1.07247191",0.052,0.04199999999999998,0.045,0.032,27.7,"53.3"
1068,641482,"Cortes, Nestor",1068,100,0.244,0.198,0.291,0.442,0.322,0.294,0.216,59,242,89.3,26.6,2332,87.6,86.94,128,528,540,-0.6999999999999886,5.89,110,152,119,151,302,327,287,"-0.386","0.386","71.4","7.4",265,176,33,15,0,11,67,25.3,19,7.2,1.93985,1.07502,-0.1062,0.07391,"91.6",175,41.47727272727273,7.386363636363637,4.905660377358491,5.72,1.2,-0.13,2.55,0.306,13,"0.036142322",0.283,0.39,"-0.036142322",0.028,0.02300000000000002,0.052,0.028,24.2,"48.7"
1066,687330,"Kelly, Kevin",1066,100,0.211,0.096,0.264,0.307,0.264,0.282,0.233,53,251,87,10.3,2315,84.4,85.67,106,477,589,1.2999999999999972,7.28,106,149,118,148,297,324,297,"8.654","-8.654","67.9","7.1",275,195,33,18,0,2,56,20.4,14,5.1,3.00466,0.29148,0.0204,-0.06663,"91.4",135,32.82051282051282,3.5897435897435894,2.5454545454545454,3.74,-1.89,0.01,2.41,0.28,7,"-0.811819887",0.3,0.331,"0.811819887",-0.022,-0.019999999999999962,-0.024,-0.018,22.2,"4.2"
1065,657571,"Ferguson, Caleb",1065,100,0.269,0.097,0.364,0.366,0.321,0.303,0.249,64,238,88,9.7,2468,92.5,92.64,137,524,541,0.09999999999999432,6.31,110,150,120,150,299,318,292,"-4.138","4.138","68.6","6.7",270,169,50,9,1,4,70,25.9,23,8.5,1.8963,0.78742,0.19358,-0.08933,"91.2",152,39.053254437869825,2.9585798816568047,1.8518518518518516,5.73,2.47,0.02,2.56,0.352,5,"0.388544601",0.334,0.335,"-0.388544601",0.02,0.01799999999999996,0.031,0.018,26.1,"41.1"
1062,621345,"Minter, A.J.",1062,100,0.236,0.118,0.331,0.354,0.281,0.28,0.218,56,237,86.9,16.5,2367,92.1,92.35,168,535,527,0.30000000000001137,6.32,111,150,120,149,309,326,299,"6.596","-6.596","70.6","7.3",257,157,41,8,1,6,82,31.9,18,7,1.87642,0.81589,0.25779,-0.21803,"91.0",175,36.30573248407643,7.006369426751593,4.280155642023346,5.77,2.46,-0.03,2.47,0.288,11,"-0.621092279",0.277,0.358,"0.621092279",0.018,0.010999999999999954,-0.004,0.001,31.4,"42.2"
1061,641941,"Pagán, Emilio",1061,100,0.181,0.125,0.222,0.306,0.241,0.296,0.221,45,248,90,19.7,2392,91.8,92.73,141,579,482,0.9000000000000057,6.78,113,148,120,149,299,328,294,"17.8","-17.8","70.3","7.1",271,186,26,12,2,5,65,24,19,7,1.7014,1.01922,0.35184,-0.20652,"91.4",177,45.16129032258064,7.526881720430108,5.166051660516605,5.6,-1.76,0,2.31,0.241,14,"-1.677662582",0.28,0.402,"1.677662582",-0.04,-0.039000000000000035,-0.096,-0.055,24.4,"41.0"
1059,657024,"Swanson, Erik",1059,100,0.217,0.142,0.28,0.358,0.28,0.271,0.199,52,240,88.9,17.2,1754,88.4,88.91,174,534,525,0.5,6.7,110,148,120,147,288,323,285,"8.32","-8.32","69.9","7.2",262,166,35,8,1,8,75,28.6,21,8,2.07696,0.87246,0.71286,-0.14722,"91.7",162,40.36144578313253,6.024096385542169,3.816793893129771,6.04,-1.09,-0.08,2.5,0.28,10,"-0.785646837",0.263,0.355,"0.785646837",0.018,0.017000000000000015,0.003,0.009,32.6,"48.2"
1059,669461,"Liberatore, Matthew",1059,100,0.274,0.17,0.314,0.444,0.341,0.368,0.289,66,241,89.9,12.4,2323,88.7,88.73,89,475,584,0,6.34,110,149,119,146,309,318,295,"-6.321","6.321","70.3","7.2",274,199,37,22,2,5,46,16.8,24,8.8,2.50615,0.46686,0.25983,-0.17435,"92.1",163,42.71356783919598,8.542713567839195,6.204379562043796,6.4,1.21,0.04,2.48,0.347,17,"0.596883853",0.364,0.484,"-0.596883853",-0.015,-0.017000000000000015,-0.04,-0.027,18.7,"46.4"
1058,489446,"Yates, Kirby",1058,100,0.167,0.148,0.213,0.314,0.281,0.324,0.205,35,210,89.1,16,1882,90,89.84,148,481,575,-0.20000000000000284,6.15,113,149,121,149,307,324,300,"5.846","-5.846","68.0","7.0",252,132,22,4,0,9,80,31.7,35,13.9,2.23593,0.59406,1.06067,0.04704,"91.4",158,40.15151515151515,10.606060606060606,5.555555555555555,5.32,-2.62,-0.07,2.14,0.299,14,"-0.552551985",0.333,0.388,"0.552551985",-0.038,-0.03400000000000003,-0.074,-0.043,30.8,"20.9"
1057,608371,"Sims, Lucas",1057,100,0.163,0.139,0.215,0.302,0.287,0.302,0.177,33,202,86.4,26.3,2844,88,86.98,160,483,573,-1,5.7,109,146,120,146,293,322,295,"5.18","-5.18","67.1","7.2",257,137,16,11,1,5,72,28,38,14.8,2.1867,0.803,-0.47242,-0.13395,"90.6",175,32.11678832116788,8.75912408759124,4.669260700389105,5.71,-2.04,0.34,2.46,0.318,12,"-0.490066225",0.329,0.33,"0.490066225",-0.014,-0.01100000000000001,-0.028,-0.015,33.1,"39.0"
1056,643410,"Leiter Jr., Mark",1056,100,0.206,0.159,0.27,0.365,0.293,0.31,0.227,48,233,87.9,9.8,1663,86.9,87.6,151,468,588,0.6999999999999886,6.67,113,148,112,151,297,324,294,"6.09","-6.09","70.0","7.3",269,160,27,12,2,7,77,28.6,24,8.9,2.53421,0.51806,0.44576,-0.09167,"91.8",134,39.375,8.75,5.204460966542751,5.7,-1.43,-0.29,2.09,0.299,14,"-0.576704545",0.319,0.38,"0.576704545",-0.021,-0.020000000000000018,-0.015,-0.017,32.3,"48.9"
1055,656464,"Ginkel, Kevin",1055,100,0.181,0.106,0.244,0.288,0.246,0.273,0.201,41,226,88,9.5,2393,91.7,92.71,154,494,561,1,6.85,113,150,119,149,301,318,294,"17.037","-17.037","68.8","7.2",254,159,23,15,0,3,70,27.6,23,9.1,2.14036,0.58907,0.40051,0.04657,"91.5",157,37.10691823899371,7.547169811320755,4.724409448818897,6.43,-2.23,0.14,2.23,0.26,12,"-1.614881517",0.278,0.337,"1.614881517",-0.02,-0.018000000000000016,-0.049,-0.027,31.2,"40.7"
1053,668674,"Erceg, Lucas",1053,100,0.245,0.111,0.357,0.356,0.328,0.297,0.208,51,208,86,7.9,1962,94.2,94.94,124,437,616,0.7000000000000028,6.71,111,147,115,149,295,323,294,"0.249","-0.249","68.4","7.0",250,141,31,18,1,1,68,27.2,35,14,1.83481,0.75547,0.90216,0.1496,"91.0",149,33.33333333333333,6.382978723404255,3.5999999999999996,6.15,-2.04,-0.09,2.23,0.368,9,"-0.023646724",0.337,0.301,"0.023646724",0.037,0.030999999999999972,0.055,0.031,28.4,"46.4"
1048,660853,"De Los Santos, Enyel",1048,100,0.216,0.116,0.275,0.332,0.281,0.313,0.241,50,232,88.7,14.3,2208,91.4,91.36,143,521,527,0,6.25,112,148,117,148,297,316,293,"9.429","-9.429","69.0","7.3",260,171,31,15,0,4,62,23.8,23,8.8,2.02849,0.73731,0.64877,-0.19045,"91.2",181,33.33333333333333,8.187134502923977,5.384615384615385,5.42,-2.04,-0.13,2.18,0.296,14,"-0.89971374",0.32,0.39,"0.89971374",-0.025,-0.02400000000000002,-0.058,-0.032,27.4,"25.0"
