Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Junior Perez","ATH",12.099,47.705,43.0866,8.71132,5.1861,2.06253,0.122549,1.34014,5.50812,4.31032,3.84418,0.061351,16.9157,0.227369,0.254999,0.291864,0.514081,1.55418,0.380379,0.202182,0.0805823,0.35459,0.227255,0.269606,0.34905,0.271647,0.618656,0.146868,5.69892,0.293839,,0.0943529,4.03289,-1.60383,68.8516,0.0943529,0,-1.6569947749376297,-0.2613981366157532,-0.0282857,999,,,,,,,38.4,3.2,38.4,3.2,,,,,,,,,,,,,,,,,,,"Junior Perez","sa3005744",678577
"A.J. Vukovich","ARI",7.451,28.815,26.7595,6.10317,4.13695,1.15731,0.0957688,0.713137,2.96282,3.18098,1.68833,0.0698922,9.16489,0.173075,0.154316,0.0397408,0.529196,0.271305,0.0940733,0.228074,0.0585922,0.31806,0.184218,0.276785,0.35843,0.276887,0.635215,0.130356,3.96629,0.316394,,-0.0234014,2.55857,-0.846147,74.2776,-0.0234014,0,-0.9018653333187103,-0.344953715801239,-0.02948,999,,,,,,,24.9,3.557142857,24.9,3.557142857,,,,,,,,,,,,,,,,,,,"A.J. Vukovich","sa3014525",691021
"Eloy Jiménez","TOR",7.174,27.439,25.147,6.10947,4.36959,0.99328,0.0091555,0.737443,2.84416,3.01824,1.86474,0.0443376,5.3591,0.189672,0.20466,0.0329017,0.714131,0.0703583,0.0190661,0.24295,0.0679596,0.195309,0.347958,0.297886,0.371153,0.292818,0.669039,0.128203,2.15614,0.278992,,-0.0358528,2.79129,-0.450836,86.8589,-0.0358528,0,-0.4608358070254326,-0.7749691009521484,-0.0298138,999,,,,,,,26.9,3.842857142,26.9,3.842857142,,,,,,,,,,,,,,,,,,,"Eloy Jimenez","17484",650391
"Chadwick Tromp","ATL",13.788,43.09,40.04,8.05907,5.73956,1.53123,0.0216054,0.766672,3.54969,3.97855,2.4551,0.00182702,11.1037,0.251734,0.271751,0.0714313,0.845254,0.0322642,0.0107706,0.201275,0.0569761,0.257687,0.221106,0.250262,0.29804,0.24307,0.548302,0.0967646,1.68773,0.256401,,-0.0537062,2.64299,-2.44843,51.625,-0.0537062,0,-2.5242462530732155,0.7916299104690552,-0.0305916,999,,,,,,,26,1.857142857,26,1.857142857,,,,,,,,,,,,,,,,,,,"Chadwick Tromp","16953",644433
"Kevin Newman","KCR",7.742,26.547,24.5154,5.69334,4.32146,1.07322,0.0722366,0.226415,2.39302,2.17493,1.26927,0.0443444,4.71371,0.143015,0.204569,0.322407,0.551976,0.394219,0.1278,0.232236,0.0478122,0.177561,0.269272,0.271911,0.309613,0.256171,0.581524,0.0773777,4.14435,0.276389,,-0.0110521,1.91066,-1.22607,57.9934,-0.0110521,-0.01,-1.3253858126699924,0.10947530530393124,-0.0309194,999,,,,,,,14.5,1.8125,14.5,1.8125,,,,,,,,,,,,,,,,,,,"Kevin Newman","17696",621028
"Jose Miranda","SDP",10.311,39.58,36.7191,8.36186,5.9002,1.56879,0.0973638,0.795506,3.69219,3.92601,2.03232,0.0523924,7.17716,0.476599,0.296772,0.0551737,0.818223,0.142796,0.0475689,0.227725,0.0513472,0.181333,0.283165,0.275037,0.340746,0.27003,0.615783,0.113021,2.92655,0.26052,,-0.0460895,3.29406,-1.38263,74.3029,-0.0460895,-0.05,-1.251552451401949,-0.36824073269963264,-0.0309963,999,,,,,,,29,2.9,29,2.9,,,,,,,,,,,,,,,,,,,"Jose Miranda","20538",669304
"Scott Kingery","CHC",6.205,14.195,13.0661,2.47091,1.66794,0.46402,0.0459421,0.293006,1.31108,1.14252,0.777542,0.0115834,4.57817,0.0776922,0.0858173,0.177055,0.170582,0.309943,0.0764076,0.189109,0.0547758,0.32252,0.169837,0.237461,0.29893,0.236379,0.536391,0.109821,5.14811,0.26301,,0.0141177,0.793556,-0.883693,49.3045,0.0141177,0,-0.8387833535671234,0.05215681716799736,-0.0321625,999,,,,,,,1.2,0.2,1.2,0.2,,,,,,,,,,,,,,,,,,,"Scott Kingery","17975",664068
"Chas McCormick","CHC",30.216,102.326,91.1835,19.4096,13.6085,2.98892,0.257995,2.55417,11.1393,9.18593,8.06228,0.207892,28.1853,1.34862,0.756209,0.975441,1.44554,3.18828,0.943133,0.212863,0.0787901,0.275446,0.286045,0.284365,0.335336,0.274544,0.6197,0.122472,5.31171,0.275415,,0.100833,8.89115,-3.19946,75.4489,0.100833,0.02,-2.876661792397499,-0.8459788374602795,-0.0325589,999,,,,,,,82.2,2.74,82.2,2.74,,,,,,,,,,,,,,,,,,,"Chas McCormick","19599",676801
"Alika Williams","PIT",14.967,45.228,41.4834,9.4815,7.00598,1.79283,0.131528,0.551161,4.07141,3.78594,2.4605,0.034295,9.68527,0.38908,0.345564,0.549452,0.832705,0.423247,0.157679,0.228561,0.0544022,0.214143,0.254046,0.275996,0.317979,0.262445,0.593975,0.0894181,3.87014,0.282672,,-0.0447598,3.48558,-1.85846,63.4847,-0.0447598,0,-2.0021462589502335,0.16618165373802185,-0.0338877,999,,,,,,,30.6,2.04,30.6,2.04,,,,,,,,,,,,,,,,,,,"Alika Williams","27604",675961
"Wilmer Flores",,53.128,207.195,186.181,43.0193,28.1151,7.44722,0.26667,7.19027,22.0683,24.7647,16.1868,0.119286,37.7569,2.60027,1.793,0.210253,3.34663,0.353961,0.0935625,0.231061,0.0781235,0.182229,0.428711,0.298926,0.389785,0.300969,0.688711,0.158724,2.19752,0.250505,,-0.276369,22.4486,-2.03313,91.4583,-0.276369,-0.06,-2.368107855319977,-4.979259070008993,-0.0342742,999,,,,,,,197.9,3.733962264,197.9,3.733962264,,,,,,,,,,,,,,,,,,,"Wilmer Flores","5827",527038
"Jorge Barrosa","ARI",36.493,126.775,115.373,25.8696,17.6008,6.07278,0.445354,1.75066,12.9648,11.0959,8.73806,0.22758,29.5061,0.99004,0.778238,0.895963,2.18329,2.59874,0.906015,0.224226,0.0689257,0.232744,0.296144,0.282793,0.330104,0.270638,0.612897,0.105878,4.80404,0.284106,,-0.0301957,10.6135,-4.36595,69.9967,-0.0301957,1.11,-4.538324810564518,-0.0163271427154541,-0.0344606,999,,,,,,,99.7,2.769444444,99.7,2.769444444,,,,,,,,,,,,,,,,,,,"Jorge Barrosa","23968",678489
"Dairon Blanco","TEX",7.583,16.052,14.6241,3.16672,2.25204,0.553439,0.0953924,0.265847,2.07813,0.962064,0.915271,0.0157414,4.28002,0.22295,0.0809278,0.208799,0.167733,1.31752,0.349231,0.216542,0.0570191,0.266635,0.213847,0.271722,0.321969,0.262576,0.59369,0.105427,7.86271,0.285544,,0.0982111,1.23879,-0.657882,66.8278,0.0982111,-0.03,-0.529378853738308,-0.3810648303478956,-0.0366238,999,,,,,,,9.6,1.2,9.6,1.2,,,,,,,,,,,,,,,,,,,"Dairon Blanco","19779",680118
"Tim Elko","CHW",5.685,18.675,17.4362,3.91992,2.63935,0.661111,0.0278009,0.591663,1.82687,2.04965,0.977856,0.0152422,6.29636,0.155221,0.0810001,0.0247145,0.353848,0.043732,0.0164173,0.224815,0.0523618,0.337155,0.155305,0.270934,0.367719,0.278179,0.638653,0.142904,2.59409,0.313125,,-0.0227804,1.6778,-0.528797,75.9139,-0.0227804,-0.01,-0.5529304407536983,-0.4486574027687311,-0.0367123,999,,,,,,,20.7,3.45,20.7,3.45,,,,,,,,,,,,,,,,,,,"Tim Elko","31522",671284
"Ben Gamel","ATL",17.597,74.431,65.6194,14.3279,9.56437,2.94725,0.188522,1.62774,7.82498,7.10836,7.58426,0.218314,20.2514,0.522899,0.429743,0.274715,1.2815,0.465799,0.206999,0.218348,0.101897,0.272084,0.374505,0.302537,0.343426,0.286938,0.645963,0.125078,3.46047,0.287529,,-0.10683,7.21632,-1.57828,81.676,-0.10683,-0.3,-1.7233052775263786,-1.1146759390830994,-0.0370007,999,,,,,,,66.9,3.716666666,66.9,3.716666666,,,,,,,,,,,,,,,,,,,"Ben Gamel","12160",592325
"Tyrone Taylor","NYM",75.6,281.335,259.308,57.2965,37.3506,11.8507,2.64244,5.45269,30.9578,24.1555,14.1406,0.434964,64.8582,4.77156,1.8834,1.23106,3.12008,7.54161,1.90661,0.220959,0.0502624,0.230537,0.218023,0.272072,0.350124,0.271801,0.622197,0.129165,6.5852,0.271603,,0.358975,23.8188,-9.42313,75.0787,0.358975,0.53,-7.9507977068424225,-1.773418664932251,-0.0372554,999,,,,,,,225.7,2.969736842,225.7,2.969736842,,,,,,,,,,,,,,,,,,,"Tyrone Taylor","13675",621438
"José Azocar","ATL",5.457,13.106,12.1832,2.82368,2.14967,0.466352,0.101009,0.10665,1.43404,0.879281,0.604549,0.017888,2.97429,0.103245,0.089045,0.126011,0.193869,0.538063,0.182383,0.231769,0.0461276,0.226941,0.203258,0.27207,0.312891,0.257542,0.584961,0.081122,6.65488,0.29561,,0.0141777,0.957872,-0.590703,61.5389,0.0141777,0.03,-0.5832511363551021,-0.22263887710869312,-0.0378403,999,,,,,,,9.7,1.94,9.7,1.94,,,,,,,,,,,,,,,,,,,"Jose Azocar","18821",640492
"Niko Kavadas","LAA",7.487,22.392,19.6189,3.59461,2.04272,0.731569,0.0425227,0.777795,2.18298,2.48261,2.25495,0.0498547,8.58762,0.361183,0.137488,0.0194751,0.242569,0.0435019,0.0168635,0.183222,0.100703,0.383513,0.262581,0.277606,0.343781,0.275778,0.621387,0.160559,2.69686,0.271083,,-0.0286326,1.96809,-0.677696,73.3391,-0.0286326,0,-0.7322562262415886,-0.41137567162513733,-0.038156,999,,,,,,,20.7,2.957142857,20.7,2.957142857,,,,,,,,,,,,,,,,,,,"Niko Kavadas","29782",694359
"Wade Meckler","LAA",19.473,58.969,53.2459,12.7287,9.63174,2.40112,0.259919,0.435906,5.78794,4.40956,4.88681,0.115037,12.3362,0.324593,0.351822,0.159846,1.31743,0.855821,0.279601,0.239055,0.0828708,0.209197,0.396137,0.305056,0.318473,0.278378,0.623529,0.079418,4.47613,0.301104,,-0.0405673,5.3074,-1.66024,75.1298,-0.0405673,0,-1.769089873880148,-0.6500110626220703,-0.0398491,999,,,,,,,42.5,2.236842105,42.5,2.236842105,,,,,,,,,,,,,,,,,,,"Wade Meckler","31490",685133
"Zach Dezenzo","HOU",30.05,114.862,104.955,23.595,15.6577,4.60684,0.13461,3.19589,12.3832,11.9636,8.14066,0.0487578,35.2247,0.962523,0.645352,0.158189,1.7787,1.50164,0.439117,0.22481,0.0708734,0.30667,0.231107,0.285067,0.362619,0.284323,0.647685,0.137809,3.82062,0.303649,,-0.0426392,10.8924,-2.67945,80.9788,-0.0426392,-0.29,-2.6176997795701027,-1.7474514544010162,-0.042131,999,,,,,,,102.9,3.43,102.9,3.43,,,,,,,,,,,,,,,,,,,"Zach Dezenzo","31562",701305
"Mason McCoy","SDP",22.177,65.626,60.1146,11.5421,8.04077,2.22619,0.344384,0.930739,6.16259,4.50289,4.18693,0.0770226,20.8166,0.375096,0.406094,0.543293,0.841619,1.57109,0.460299,0.192001,0.0637999,0.317201,0.201134,0.247441,0.28694,0.237473,0.53438,0.0949383,5.68541,0.273676,,0.0430263,3.72702,-4.02719,52.0001,0.0430263,0.06,-3.690421774983406,1.0867130123078823,-0.0430036,999,,,,,,,38.2,1.736363636,38.2,1.736363636,,,,,,,,,,,,,,,,,,,"Mason McCoy","22232",669200
"Pedro León","PHI",11.863,44.202,40.2371,8.16821,5.37517,1.57465,0.0745568,1.14384,4.63392,4.06483,2.76342,0.0627218,13.9351,0.682641,0.231644,0.287236,0.66357,1.17794,0.345475,0.203002,0.0625181,0.31526,0.198306,0.264473,0.331125,0.262783,0.595598,0.128122,5.07907,0.276662,,0.0362895,3.41864,-1.80416,63.9893,0.0362895,-0.02,-1.850256148725748,-0.08102366700768471,-0.0471322,999,,,,,,,33.9,2.825,33.9,2.825,,,,,,,,,,,,,,,,,,,"Pedro Leon","27781",694175
"Abraham Toro","KCR",12.626,37.673,34.392,7.93475,5.32735,1.6471,0.139866,0.820432,3.81672,4.02117,2.44981,0.0643903,7.28388,0.438909,0.31389,0.0783643,0.675201,0.380146,0.127111,0.230715,0.0650282,0.193345,0.336333,0.287899,0.358306,0.283041,0.646205,0.127591,3.99749,0.267439,,-0.0298395,3.5333,-0.918051,76.5032,-0.0298395,0,-1.0731472112238407,-0.6921112537384033,-0.0479452,999,,,,,,,32,2.461538461,32,2.461538461,,,,,,,,,,,,,,,,,,,"Abraham Toro","19844",647351
