Year,System,Player Type,Stat Group,Stat,RMSE,MAE,Bias,R2,LA-RMSE,LA-MAE,LA-Bias,LA-R2,WLA-RMSE,WLA-MAE,WLA-Bias,WLA-R2,N Players
2010,ZiPS,batting,Standard,BABIP,0.083039598,0.051356681,0.024168998655985853,0,0.080702977,0.049308518,0.014196345701826683,0.003212128,0.037952021,0.028345844887682027,-6.84E-17,0.069535789,622
2010,Marcel,batting,Standard,BB/PA,0.052665169440656925,0.027963693565419202,0.005882084,0.11333840358466418,0.052514176,0.027710353,0.004326373,0.11841531944602668,0.023216378650136482,0.017225771094350428,-5.86E-18,0.477886439,622
2010,ZiPS,batting,Standard,BB/PA,0.050393613932355294,0.025391649646961754,0.001431775,0.18817590716545973,0.050385513,0.025366027,0.001110663,0.1884368938349481,0.022248818694291222,0.016483708575626112,2.968924214156802e-19,0.5204985431201054,622
2010,Marcel,batting,Standard,HBP/PA,0.010039505278044746,0.006784573,0.001179413,0.1129413025223075,0.009995668,0.006655912,0.000716054,0.12067097303662644,0.006376058,0.004546349,6.927489833032537e-19,0.3172482631991961,622
2010,ZiPS,batting,Standard,HBP/PA,0.009928685,0.006534118,0.00123244,0.13241667436890092,0.009878206,0.006418256,0.000720469,0.141216123,0.006336025,0.004473266,1.3854979666065074e-19,0.32579487916132865,622
2010,Marcel,batting,Standard,HR/BIP,0.033833215,0.020514758,0.004693275,0.15451824424230243,0.033574716,0.019876297,0.002145213,0.1673885196497461,0.017418414,0.013079970656702635,3.800222994120706e-18,0.5156921253667553,622
2010,Marcel,batting,Fantasy,HR/BIP,0.015788801,0.012236567,0.001459186,0.5778249372511339,0.015721694509988515,0.012083346666032566,0.000121065,0.5814060307735236,0.015575389723464436,0.011876309865448756,3.362671773997319e-18,0.5919858224021777,270
2010,ZiPS,batting,Standard,HR/BIP,0.033323325306623124,0.018710097,0.002102366,0.17981020387506397,0.033257941,0.018254954,0.000258009,0.18302566739544313,0.017100861,0.012348001848400403,1.0292270609076913e-18,0.5331899037342329,622
2010,ZiPS,batting,Fantasy,HR/BIP,0.015632033065309123,0.011724817512449217,0.001298229,0.5861669320228624,0.015578109473501654,0.011546848368440887,-4.93E-05,0.5890170892962632,0.015442456,0.011418243929745922,-6.32E-18,0.5989207708358915,270
2010,Marcel,batting,Standard,OBP,0.07764218,0.048349408,0.029434410254623962,0,0.074454569,0.045283776,0.019533540310270606,0.021670504968816617,0.034381393,0.025786644,7.220423688829342e-17,0.25893263430740077,622
2010,ZiPS,batting,Standard,OBP,0.073894767,0.046154555,0.023309093,0.036326743845766285,0.071759938,0.044207071,0.015243555243524115,0.091203693,0.034346539,0.026371920393516556,1.0133927984321884e-17,0.26043441821094626,622
2010,Marcel,batting,Standard,PA,175.05636666872192,138.07556270096464,39.21061093247589,0.39523811035695533,175.05636666872192,138.07556270096464,39.21061093247589,0.39523811035695533,175.05636666872192,138.07556270096464,39.21061093247589,0.39523811035695533,622
2010,Marcel,batting,Fantasy,PA,156.58663440432608,113.05555555555556,-62.74444444,0,156.58663440432608,113.05555555555556,-62.74444444,0,156.58663440432608,113.05555555555556,-62.74444444,0,270
2010,ZiPS,batting,Standard,PA,252.13327129749626,200.04501607717043,150.09003215434083,0,252.13327129749626,200.04501607717043,150.09003215434083,0,252.13327129749626,200.04501607717043,150.09003215434083,0,622
2010,ZiPS,batting,Fantasy,PA,119.23555895167564,92.95555555555555,-10.61481481,0.041823304,119.23555895167564,92.95555555555555,-10.61481481,0.041823304,119.23555895167564,92.95555555555555,-10.61481481,0.041823304,270
2010,Marcel,batting,Standard,R/PA,0.077921406,0.035871835,0.007318635,0.005127908,0.077579741,0.033904115820641054,-0.000658197,0.013833272064211255,0.024376726108271414,0.017540918290407242,1.646763297452306e-17,0.21891418660834616,622
