"","Name","Position","1B_total","2B_total","3B_total","HR_total","BB_total","SO_total","RBI_total","SB_total","R_total","H_total","FPTS"
"31","Aeverson Arteaga","SS",10.2572133784622,2.55424722356631,0.312434429156302,1.04233156917004,7.83989024550163,23.6878880291548,6.43424311655039,0.517333822933102,6.20386679129518,14.1662266003549,38.2723462920775
"32","Agustín Ramírez","C",70.1783380065635,26.1260365837874,0.99401387032529,18.391134208955,78.7927282590551,103.817374858069,65.8360422372146,11.7816711210331,62.3937825645763,115.689522669631,466.550156024952
"33","Ahbram Liendo","3B/SS/2B",13.0146848614267,1.59710831269852,0.312417621323114,0.52125728685501,11.9239638079656,24.7243853825516,5.93649037348067,3.95978312686104,7.87420671030123,15.4454680823033,43.1682144909112
"34","Aidan Longwell","1B/LF",11.3920206603455,3.98494803617297,0.312131888158931,1.38964787694127,10.2197507616154,17.5874147827328,8.07906068833111,0.516893425662459,7.20655591676335,17.0787484616187,58.2294960761948
"35","Aidan Miller","SS",17.0213191237431,5.68257284981174,0.404817427634577,2.82105318894363,25.2891321803143,36.434419910324,13.933625685025,6.86604605090853,15.9396641063767,25.929762590133,93.049570974297
"36","Aidan Smith","CF/RF/LF",9.59997411025518,2.86917454438172,0.312031041159808,2.25592559642955,13.2841551053866,28.0361600077933,9.06420361889089,3.61453506935178,11.552790337806,15.0371052922263,51.5676983109242
"37","Akil Baddoo","OF",13.0954694070307,4.04495369147462,0.923339430402906,3.04263083366854,23.5365710382073,28.7770816041502,12.1793305980911,3.85241708100043,13.3762777177226,21.1063933625768,78.9696489336804
"38","Alan Roden","LF/RF/CF",36.2232535380725,10.586739036458,1.04622287417899,3.94149522573466,39.9932139045788,40.2174178762992,22.9024569736785,3.61090429357485,27.6592528656446,51.7977106744442,193.851998741951
"39","Alan Trejo",NA,8.45772857970748,3.13947009874375,0.162015917027752,1.43814408003678,7.76109116627962,17.4828782839392,6.3376915459325,0.364397183277215,7.25986421470378,13.1973586755158,43.8490848594312
"40","Albert Almora Jr.",NA,10.2596701904855,3.01471747316979,0.328032098354071,0.741548324883581,7.87389829266016,12.8100882279191,6.23777398199225,1.26194986921063,7.00650770431028,14.343968086893,50.6234742328017
"41","Albert Fabian","LF/RF/1B",6.35522107452002,1.91642035714739,0.156183598911776,1.56392159155229,7.16254200143477,14.8109192530593,5.94124415310302,0.173749488446272,5.36793976487936,9.99174662213147,33.5678063493916
"42","Albert Feliz",NA,4.7262278427397,1.11773333038499,0.000268925330996016,1.21692138253193,5.11551737248664,22.4839367467069,4.2924593983281,0.000913416561333555,3.02281797044723,7.06115148098763,10.7847438102354
"43","Alberto Rios","C",3.75450772425037,0.640500883483272,0.156250830244525,0.348747070538376,4.43908492996767,11.3435180592094,2.48009405251216,0.345248057509258,2.68764939044592,4.90000650851654,10.868736722395
"44","Alec Bohm","3B",98.5153801408289,26.5270203557665,1.84158333131626,14.4650103500011,75.8488241033202,89.081954867908,68.7827225614435,2.94646580274779,64.0826715722384,141.348994177913,544.382105670663
"45","Alec Burleson","1B",95.2554772846976,25.1156059730395,1.01486469697275,19.3497070531176,80.4895958024698,81.0005590475746,72.4173361821413,5.5399484408619,64.9023447722162,140.735655007827,569.260491897465
"46","Alec Makarewicz","1B/3B",8.95146687370793,2.55097528964286,0.623978043153679,1.56244091845606,8.85713913153212,25.5970717646027,6.92474549069969,0.688979191086302,6.7021179623426,13.6888611249605,38.2716083857258
"47","Alejandro Kirk","C",79.1733693970338,19.4906263853825,0.192586256972036,15.092547480386,97.5877771183451,57.8845014791289,59.7344588790534,0.760851290090781,54.0275079307029,113.949129519774,463.639146520525
"48","Alejandro Nunez","2B/3B/SS",10.2538288700669,2.2332909077549,0.156334869410462,0.868390590086263,7.15567348982563,23.3323476348104,5.77255068397896,1.89436247753435,6.7026877976533,13.5118452373186,36.7239214531465
"49","Alejandro Osuna","LF/CF/RF",18.1475482412548,5.25887299116867,0.456876160317698,2.18238407434103,22.9972223569794,27.5236898448659,12.4486793282469,3.85630673481424,14.7359744451218,26.0456814670822,94.3740925993909
"50","Alejo Lopez",NA,13.3418576181912,3.0298021815022,0.1562844459109,0.521190739749561,13.2863137804638,12.5432546192895,7.58255623991042,1.72188524786993,7.70767254537316,17.0491349853539,60.5222076624984
